Date,Close,Predictions
2017-10-25,515.75,459.907
2017-10-26,511.3,473.76776
2017-10-27,485.3,486.9833
2017-10-30,492.9,498.14886
2017-10-31,497.2,506.3886
2017-11-01,539.1,511.53796
2017-11-02,543.2,514.9258
2017-11-03,541.25,517.9625
2017-11-06,532.55,521.48145
2017-11-07,514.35,525.49963
2017-11-08,495.3,529.21497
2017-11-09,504.25,531.4138
2017-11-10,503.45,531.60767
2017-11-13,498.0,529.8896
2017-11-14,498.15,526.6187
2017-11-15,486.75,522.36945
2017-11-16,489.9,517.5121
2017-11-17,493.5,512.5066
2017-11-20,492.65,507.8871
2017-11-21,503.25,504.05847
2017-11-22,499.1,501.4976
2017-11-23,496.35,500.3379
2017-11-24,496.8,500.38263
2017-11-27,498.0,501.29514
2017-11-28,492.0,502.73398
2017-11-29,495.75,504.2469
2017-11-30,496.45,505.5728
2017-12-01,484.15,506.6025
2017-12-04,484.3,507.027
2017-12-05,490.65,506.6771
2017-12-06,483.45,505.72885
2017-12-07,514.7,504.30017
2017-12-08,525.15,503.28085
2017-12-11,532.7,503.63208
2017-12-12,523.85,505.99075
2017-12-13,517.35,510.16068
2017-12-14,520.3,515.32715
2017-12-15,517.95,520.6427
2017-12-18,526.25,525.35645
2017-12-19,536.6,529.1867
2017-12-20,528.9,532.33563
2017-12-21,524.1,534.861
2017-12-22,528.55,536.6662
2017-12-26,542.95,537.80414
2017-12-27,534.65,538.7432
2017-12-28,531.35,539.665
2017-12-29,529.65,540.5194
2018-01-01,527.9,541.1627
2018-01-02,516.55,541.4491
2018-01-03,518.2,541.04895
2018-01-04,523.0,539.85736
2018-01-05,540.0,538.1054
2018-01-08,516.35,536.5441
2018-01-09,509.8,535.20514
2018-01-10,506.4,533.8017
2018-01-11,514.75,532.0373
2018-01-12,509.55,530.0145
2018-01-15,504.5,527.8489
2018-01-16,497.25,525.575
2018-01-17,499.9,523.0952
2018-01-18,495.0,520.4695
2018-01-19,497.9,517.7377
2018-01-22,490.7,515.0731
2018-01-23,492.1,512.5025
2018-01-24,459.5,510.096
2018-01-25,452.7,507.18027
2018-01-29,440.6,503.14398
2018-01-30,440.6,497.57312
2018-01-31,439.85,490.5803
2018-02-01,438.4,482.68228
2018-02-02,422.35,474.56433
2018-02-05,440.2,466.56018
2018-02-06,439.15,459.359
2018-02-07,430.25,453.52905
2018-02-08,429.8,449.18143
2018-02-09,422.5,446.187
2018-02-12,424.4,444.14847
2018-02-14,434.8,442.72183
2018-02-15,428.95,441.89224
2018-02-16,419.7,441.55457
2018-02-19,414.35,441.36597
2018-02-20,418.1,440.91437
2018-02-21,419.65,440.04034
2018-02-22,416.1,438.80673
2018-02-23,425.55,437.30023
2018-02-26,423.15,435.8519
2018-02-27,430.5,434.7033
2018-02-28,428.55,434.13495
2018-03-01,427.75,434.23303
2018-03-05,421.45,434.90125
2018-03-06,413.9,435.806
2018-03-07,403.2,436.4563
2018-03-08,401.3,436.27844
2018-03-09,402.15,434.94797
2018-03-12,421.55,432.5056
2018-03-13,426.3,429.6746
